,词语,情感分类,得分
8008,奉公守法,PH,3.0
8009,思路清晰,PH,9.0
8010,坦诚相待,PA,9.0
8011,天字第一号,PH,0.0
8012,刚正不阿,PH,5.0
8013,高级化,PH,1.0
8014,高性能,PH,3.0
8015,耿耿,PH,0.0
8016,够水平,PH,3.0
8017,光彩炫目,PH,3.0
8018,瑰伟,PH,5.0
8019,毫不犹豫,PH,3.0
8020,好说话儿,PH,1.0
8021,合度,PH,1.0
8022,赫赫,PH,3.0
8023,爽心悦目,PH,7.0
8024,数得着,PH,3.0
8025,舒快,PA,5.0
8026,手快,PH,5.0
8027,世界级,PH,3.0
8028,实至名归,PH,7.0
8029,十全,PH,7.0
8030,升平,PA,0.0
8031,浑然一体,PH,3.0
8032,技高一筹,PH,3.0
8033,神奥,PH,9.0
8034,坚贞不渝,PH,7.0
8035,简明扼要,PH,3.0
8036,上镜,PH,5.0
8037,赏罚严明,PH,7.0
8038,叫真,NN,
8039,山明水秀,PH,7.0
8040,精神抖擞,PH,3.0
8041,经久耐用,PH,3.0
8042,入味,PH,3.0
8043,如虎添翼,PH,9.0
8044,举止端庄,PH,5.0
8045,绝好,PH,5.0
8046,俊丽,PH,5.0
8047,饶爽,PH,5.0
8048,确凿,PG,0.0
8049,可信赖,PG,3.0
8050,情文并茂,PH,7.0
8051,趣味盎然,PB,7.0
8052,清通,PH,3.0
8053,轻轻松松,PA,1.0
8054,强壮有力,PH,5.0
8055,死有余辜,NN,-9.0
8056,无常,NN,-9.0
8057,老于世故,NN,-3.0
8058,形影相吊,NN,-9.0
8059,理智,PH,3.0
8060,庸庸碌碌,NN,-9.0
8061,器宇不凡,PH,9.0
8062,鱼龙混杂,NN,-9.0
8063,贼溜溜,NN,-9.0
8064,忸忸怩怩,NG,-9.0
8065,突破性,PH,9.0
8066,其乐融融,PA,5.0
8067,文绉绉,PH,5.0
8068,原封不动,PH,9.0
8069,有门儿,PH,9.0
8070,有福气,PH,9.0
8071,训练良好,PH,9.0
8072,协调一致,PH,9.0
8073,平滑,PH,0.0
8074,平等互利,PH,3.0
8075,铁案如山,PH,9.0
8076,路人皆知,NN,-3.0
8077,迷人,PB,3.0
8078,明快生动,PH,3.0
8079,目光炯炯,PH,5.0
8080,内敛,PH,1.0
8081,排列整齐,PH,3.0
8082,哀而不伤,PH,3.0
8083,爱毛反裘,NK,-9.0
8084,地大物博,PH,9.0
8085,天下为一,PH,9.0
8086,毁家纾难,PH,9.0
8087,赤心奉国,PH,9.0
8088,捐躯殉国,PH,9.0
8089,以身报国,PH,9.0
8090,护国佑民,PH,9.0
8091,论道经邦,PH,9.0
8092,纲纪废弛,ND,-9.0
8093,三旨相公,NN,-5.0
8094,移天易日,NN,-9.0
8095,卖国求利,NN,-9.0
8096,棘没铜驼,NB,0.0
8097,蹙国丧师,NB,-7.0
8098,哀艳,NB,3.0
8099,妒火,NK,-3.0
8100,欢欣,PA,5.0
8101,欢乐,PA,5.0
8102,松快,PA,5.0
8103,高涨,PA,3.0
8104,芳泽,PH,3.0
8105,春风满面,PA,5.0
8106,欢腾,PA,7.0
8107,狂喜,PA,9.0
8108,嘻嘻哈哈,PA,7.0
8109,喜滋滋,PA,7.0
8110,心旷神怡,PA,5.0
8111,称愿,PA,3.0
8112,宁可,PK,0.0
8113,发噱,PA,5.0
8114,怡然,PA,5.0
8115,无忧无虑,PA,3.0
8116,载歌载舞,PA,7.0
8117,惊喜交加,PA,0.0
8118,喜从天降,PA,5.0
8119,夹道欢呼,PA,7.0
8120,披红戴花,PA,7.0
8121,久旱逢甘雨,PA,7.0
8122,酣畅淋漓,PA,5.0
8123,哑笑,PA,0.0
8124,大笑,PA,0.0
8125,笑哈哈,PA,5.0
8126,悠然自得,PA,3.0
8127,鹊桥相会,PA,3.0
8128,电线杆上挂邮箱－高兴,PA,0.0
8129,讨饭的捡黄金－喜出望外,PA,0.0
8130,渔夫赶上鱼汛－喜之不尽,PA,0.0
8131,圆满,PA,3.0
