,词语,情感分类,得分
19653,马角乌头,NJ,-5.0
19654,马瘦毛长,NN,-3.0
19655,买笑追欢,NN,-7.0
19656,麦秀两歧,PA,7.0
19657,卖兒鬻女,ND,-7.0
19658,卖富差贫,NN,-7.0
19659,谩辞譁说,NN,-5.0
19660,满座风生,PH,7.0
19661,慢腾斯礼,PE,0.0
19662,忙中有失,NI,-7.0
19663,毛骨竦然,NC,-9.0
19664,贸首之雠,NN,-7.0
19665,没世无闻,NB,7.0
19666,没法奈何,NE,-5.0
19667,没头没脸,NE,-5.0
19668,门可张罗,NJ,-7.0
19669,门殚户尽,NB,-9.0
19670,梦想颠倒,PF,-7.0
19671,迷金醉纸,NN,-7.0
19672,迷离惝恍,NL,-5.0
19673,胡行乱为,ND,-7.0
19674,胡猜乱想,ND,-5.0
19675,胡诌乱说,ND,-5.0
19676,鹘仑吞枣,NN,-5.0
19677,哗世取宠,ND,-7.0
19678,化腐为奇,PH,7.0
19679,怀珠抱玉,PH,7.0
19680,淮王鸡狗,ND,-5.0
19681,还珠返璧,PA,0.0
19682,涣若冰释,PG,7.0
19683,黄人捧日,PE,7.0
19684,黄钟大吕,PD,9.0
19685,灰心短气,NJ,0.0
19686,灰躯糜骨,NB,0.0
19687,辉光日新,PH,7.0
19688,回光反照,ND,-5.0
19689,回乾就湿,PH,7.0
19690,毁方瓦合,NB,0.0
19691,诲人不惓,PH,7.0
19692,昏昏噩噩,NN,0.0
19693,浑然天成,PB,7.0
19694,混水摸鱼,NN,-5.0
19695,魂飞魄飏,PC,0.0
19696,魂消魄丧,PC,0.0
19697,魂惭色褫,PC,0.0
19698,魂惊胆落,PC,0.0
19699,活蹦活跳,PH,5.0
19700,火冒三尺,,0.0
19701,获陇望蜀,NN,0.0
19702,祸结兵连,NC,0.0
19703,击排冒没,NN,-5.0
19704,饥馑荐臻,NB,0.0
19705,机关用尽,NN,-7.0
19706,鸡犬不安,NE,0.0
19707,鸡飞狗叫,ND,-7.0
19708,激薄停浇,PH,5.0
19709,极武穷兵,ND,-5.0
19710,即温听厉,PD,0.0
19711,急管繁弦,PA,0.0
19712,戟指嚼舌,,0.0
19713,计行言听,PG,7.0
19714,计穷虑极,NJ,0.0
19715,寄颜无所,NG,0.0
19716,佳儿佳妇,PH,0.0
19717,家翻宅乱,NB,0.0
19718,颊上三毫,PH,5.0
19719,驾鹤西游,NB,0.0
19720,坚额健舌,ND,-5.0
19721,孤立无助,NJ,-7.0
19722,孤兒寡妇,NB,-7.0
19723,孤俦寡匹,NB,-5.0
19724,谷贱伤农,ND,-5.0
19725,骨瘦形销,ND,-7.0
19726,鼓脣咋舌,ND,-5.0
19727,鼓舞欢忻,PA,7.0
19728,故弄虚玄,NN,-5.0
19729,顾小失大,NN,-5.0
19730,顾盼神飞,PB,7.0
19731,刮垢磨光,NN,-5.0
19732,挂灯结彩,PA,7.0
19733,关门打狗,ND,5.0
19734,官偪民反,ND,-7.0
19735,鳏鱼渴凤,PF,7.0
19736,贯盈恶稔,ND,-9.0
19737,光彩陆离,PB,5.0
19738,广开言路,PG,5.0
19739,归真反朴,PG,5.0
19740,龟龄鹤算,PG,7.0
19741,规贤矩圣,PG,5.0
19742,诡言浮说,NN,-5.0
19743,鬼泣神号,NB,-9.0
19744,鬼哭天愁,NB,-9.0
19745,鬼哭狼嗥,NC,-9.0
19746,鬼瞰高明,ND,-5.0
19747,贵古贱今,ND,-5.0
19748,桂折兰摧,NB,0.0
19749,刿目鉥心,PG,9.0
19750,果熟蒂落,PH,5.0
19751,过屠门而大嚼,NJ,0.0
19752,海桑陵谷,NH,0.0
19753,骇人视听,PC,-7.0
19754,骇龙走蛇,PC,0.0
19755,邯郸学步,NN,-5.0
19756,含辛忍苦,PD,7.0
19757,含垢纳汙,PD,7.0
19758,含章挺生,PB,7.0
19759,韩信用兵，多多益办,PG,0.0
19760,寒心消志,NC,-5.0
19761,汗牛充栋,PG,7.0
19762,汗流洽衣,NC,0.0
19763,毫釐千里,NN,-7.0
19764,好模好样,PG,5.0
19765,好谋善断,PG,5.0
19766,昊天不吊,NH,0.0
19767,合胆同心,PG,5.0
19768,和衷共济,PG,5.0
19769,河沙世界,PD,5.0
19770,河清人寿,PG,9.0
19771,河溓海夷,PE,5.0
19772,鹤骨松姿,PG,5.0
19773,鹤唳猿声,NB,0.0
19774,黑地昏天,ND,-9.0
19775,横三竖四,ND,-5.0
19776,横挑鼻子竖挑眼,ND,-5.0
19777,横冲直闯,ND,-5.0
19778,横祸飞灾,NC,-5.0
19779,衡石程书,NB,5.0
19780,宏才大略,PG,7.0
19781,闳识孤怀,PG,7.0
19782,鸿飞雪爪,NJ,0.0
19783,鸿鳦满纸,ND,-5.0
19784,鸿篇钜制,PG,7.0
19785,侯门似海,NB,-5.0
19786,厚味腊毒,ND,-7.0
19787,呼牛作马,ND,-7.0
19788,狐兔之悲,NB,-7.0
19789,狐裘蒙茸,ND,-5.0
19790,胡天胡地,PG,9.0
19791,师表,PG,5.0
19792,师兄,PD,5.0
19793,施诊,PG,5.0
19794,识荆,PD,5.0
19795,实证主义,NN,-5.0
19796,世界主义,ND,5.0
19797,事务主义,NN,-5.0
19798,适时,PG,5.0
19799,誓愿,PH,7.0
19800,交际花,NN,-7.0
19801,娇娃,PB,7.0
19802,角弓反张,ND,0.0
19803,脚气病,ND,0.0
19804,教条主义,NN,-7.0
19805,接气,PH,0.0
19806,揭批,NN,0.0
19807,劫狱,ND,0.0
19808,结缘,PB,0.0
19809,竭诚,PH,0.0
19810,解劝,PB,0.0
19811,戒条,ND,0.0
19812,金链,PH,7.0
19813,津津,PH,7.0
19814,伪君子,ND,-7.0
19815,委婉,PB,5.0
19816,畏友,NC,0.0
19817,文玩,PB,0.0
19818,问号,NL,0.0
19819,呜呼,NB,0.0
19820,无量,PH,7.0
19821,投閒置散,NJ,0.0
19822,徒讬空言,NN,-5.0
19823,涂歌里抃,PA,7.0
19824,土阶茅茨,PH,7.0
19825,吐食握发,PH,7.0
19826,兔走鹘落,PH,7.0
19827,抟沙作饭,NN,0.0
19828,推己及物,PH,7.0
19829,推梨让枣,PD,7.0
19830,颓垣败井,NB,-9.0
19831,退旅进旅,PH,7.0
19832,吞风饮雨,NB,-7.0
19833,屯街塞巷,NN,-5.0
19834,讬诸空言,NN,-5.0
19835,脱手弹丸,PH,7.0
19836,唾壶击缺,NE,-7.0
19837,瓦解冰泮,NJ,-9.0
19838,歪打正着,NN,-7.0
19839,外厉内荏,NN,-7.0
19840,剜肉生疮,NN,-7.0
19841,玩日愒时,NN,-7.0
19842,顽父嚚母,NN,-7.0
19843,亡不旋踵,ND,-7.0
19844,亡国之器,NN,-7.0
19845,王公大人,PD,7.0
19846,枉尺直寻,NN,-7.0
19847,枉费心力,NB,-7.0
19848,忘生舍死,PH,7.0
19849,望子成龙,PG,7.0
19850,望风而靡,NN,-7.0
19851,望梅止渴,PE,9.0
19852,望尘追迹,PH,7.0
19853,危言高论,PH,7.0
19854,威风扫地,NN,-7.0
19855,煨乾避湿,NE,7.0
19856,为蛇添足,NN,-7.0
19857,为人作嫁,NB,-7.0
19858,为丛驱雀,NN,-9.0
19859,违利赴名,PH,7.0
19860,围城打援,PH,7.0
19861,帷薄不修,NN,-9.0
19862,惟日为岁,NE,-9.0
19863,嵬眼澒耳,PH,9.0
19864,未成一篑,NJ,-9.0
19865,未达一间,NJ,-9.0
19866,偎慵堕懒,NN,-7.0
19867,温枕扇席,PH,9.0
19868,文人无行,NN,7.0
19869,文身断发,NN,-7.0
19870,文昭武穆,PH,9.0
19871,文搜丁甲,PH,9.0
19872,文献之家,PH,9.0
19873,闻所未闻,PB,9.0
19874,闻风响应,PH,9.0
19875,问舍求田,NN,-7.0
19876,汶阳田反,PA,7.0
19877,我醉欲眠,PH,9.0
19878,握拳透掌,,-9.0
19879,乌集之交,ND,-7.0
19880,屋上乌,PB,7.0
19881,无了无休,NE,-7.0
19882,无以塞责,NH,7.0
19883,无可比象,PH,9.0
19884,无名之朴,PH,7.0
19885,无形之罪,NB,-9.0
19886,无拘无碍,PA,7.0
19887,无所不及,PH,9.0
19888,无所回避,PH,7.0
19889,无所措手,NE,-9.0
19890,无故呻吟,NN,-7.0
19891,无计奈何,NJ,-7.0
19892,无师自通,PH,7.0
19893,无胫而走,PH,7.0
19894,无为而治,PH,7.0
19895,铁腕,NC,-5.0
19896,停业,NJ,-5.0
19897,通明,PE,3.0
19898,捅娄子,NE,-7.0
19899,头等,PD,5.0
19900,头油,PH,7.0
19901,土包子,ND,-7.0
19902,土司制度,NN,-9.0
19903,推脱,ND,7.0
19904,腿子,NN,-7.0
19905,火急,NI,0.0
19906,亟亟,NI,0.0
19907,疾苦,NB,0.0
19908,憨笑,PB,0.0
19909,喝倒彩,ND,0.0
19910,和稀泥,NN,0.0
19911,十生九死,NB,-5.0
19912,十雨五风,PA,5.0
19913,十载寒窗,PH,5.0
19914,识文谈字,PH,5.0
19915,识微见远,PH,5.0
19916,拾带重还,PH,5.0
19917,食不重味,PH,5.0
19918,食甘寝安,PE,5.0
19919,豕分蛇断,NB,-5.0
19920,使性傍气,NN,-5.0
19921,屎流屁滚,NI,-5.0
19922,势穷力屈,NB,-5.0
19923,饰垢掩疵,NN,-5.0
19924,视死如生,PH,5.0
19925,视同秦越,NN,-5.0
19926,视微知著,PH,5.0
19927,逝者如斯,NB,-5.0
19928,誓同生死,PB,5.0
19929,適性忘虑,PA,5.0
19930,手不释书,PH,5.0
19931,手脚无措,NI,-5.0
19932,首善之区,PH,5.0
19933,书香人家,PH,5.0
19934,输肝剖胆,PH,5.0
19935,鼠心狼肺,ND,-5.0
19936,鼠雀之牙,NN,-5.0
19937,鼠窜狗盗,NN,-5.0
19938,数黑论黄,NN,-5.0
19939,束手无措,NI,-5.0
19940,束修自好,PH,5.0
19941,树倒根摧,NB,-5.0
19942,鉥肝刿肾,PH,5.0
19943,霜露之感,NB,-5.0
19944,水火不避,PH,5.0
19945,水佩风裳,PH,5.0
19946,顺天从人,PH,5.0
19947,顺风扯帆,PA,5.0
19948,说白道绿,NN,-5.0
19949,司马昭之心,NN,-5.0
19950,死有余罪,NN,-5.0
19951,死告活央,NB,-5.0
19952,死诸葛能走生仲达,PH,5.0
19953,四通八达,PA,5.0
19954,怠慢,NN,-5.0
19955,捣乱,NN,-5.0
19956,得罪,NN,-5.0
19957,便秘,NE,-5.0
19958,变乱,NC,-3.0
19959,变性,ND,-5.0
19960,辩护士,PH,5.0
19961,婊子,ND,-9.0
19962,濒危,NC,-7.0
19963,殡葬,NB,-5.0
19964,兵火,ND,-5.0
19965,饼子,PB,5.0
19966,病毒,NC,-5.0
19967,病号,NB,-3.0
19968,病原虫,NC,-5.0
19969,波尔卡,PB,7.0
19970,伯祖母,PD,5.0
19971,搏斗,NC,-5.0
19972,补情,PB,7.0
19973,不错眼,PB,7.0
19974,不顾,PH,5.0
19975,不克,NL,-3.0
19976,不佞,NJ,-5.0
19977,不失为,PH,5.0
19978,不韪,NN,-7.0
19979,不行,NJ,-7.0
19980,献计,PB,0.0
19981,乡愿,ND,-5.0
19982,相投,PB,0.0
19983,享福,PA,0.0
19984,想儿,PF,0.0
19985,象话,PH,0.0
19986,消极浪漫主义,NN,0.0
19987,消夏,PA,0.0
19988,小道儿消息,ND,0.0
19989,小绺,ND,-3.0
19990,小算盘,ND,0.0
19991,笑脸,PA,0.0
19992,歇斯底里,ND,0.0
19993,谐戏,PA,0.0
19994,少艾,PH,5.0
19995,舍亲,PD,3.0
19996,申雪,NB,-7.0
19997,身手,PH,3.0
19998,深造,PH,1.0
19999,神物,PH,5.0
20000,渗入,NN,-3.0
20001,生变,NB,-5.0
20002,生息,PA,1.0
20003,胜利果实,PA,3.0
20004,失欢,NB,-5.0
20005,失恋,NB,-7.0
20006,失去,NB,-5.0
20007,失守,NE,-5.0
20008,绝代,PH,0.0
20009,骏马,PH,9.0
20010,恺悌,PA,5.0
20011,割席,NJ,0.0
20012,孤哀子,NB,0.0
20013,交心,PG,0.0
20014,胶着,NJ,0.0
20015,绞手,NC,-7.0
20016,剿灭,PD,5.0
20017,阶级观点,PH,7.0
20018,揭穿,NN,0.0
20019,节节,PH,5.0
20020,结仇,ND,0.0
20021,桀黠,NN,-7.0
20022,竭力,PH,0.0
20023,解脱,PA,0.0
20024,借口,NN,-5.0
20025,金融寡头,NN,0.0
20026,闹哄,NN,-5.0
20027,泥腿,NN,-5.0
20028,蝇蝇,ND,-5.0
20029,优遇,PB,5.0
20030,悠缪,NN,-9.0
20031,游侠,PH,7.0
20032,右派,NN,-7.0
20033,余孽,NN,-9.0
20034,窳劣,NN,-7.0
20035,畅谈,PA,5.0
20036,唱反调,NN,-7.0
20037,超经济剥削,ND,-5.0
20038,朝贡,PH,5.0
20039,称谢,PH,5.0
20040,惩办,,-7.0
20041,吃不上,NE,-7.0
20042,吃教,NJ,-5.0
20043,持家,PE,5.0
20044,笔伐口诛,ND,0.0
20045,壁间蛇影,NC,5.0
20046,辩口利辞,PH,5.0
20047,标新竞异,PH,5.0
20048,别开蹊径,PH,5.0
20049,冰寒於水,PH,5.0
20050,兵销革偃,PH,5.0
20051,并疆兼巷,PH,5.0
20052,播糠眯目,NN,-5.0
20053,博览五车,PH,5.0
20054,不刊之论,PH,5.0
20055,不伏烧埋,NN,-5.0
20056,不直一钱,NN,-5.0
20057,不知就里,NN,-5.0
20058,不染一尘,PH,5.0
20059,不爽毫发,PH,5.0
20060,不复堪命,NJ,0.0
20061,不经之说,NN,-5.0
20062,不晓世务,NN,-5.0
20063,不避汤火,NN,-5.0
20064,不识东家,NN,-5.0
20065,布帆无恙,PK,0.0
20066,材士练兵,PH,5.0
20067,材剧志大,PD,0.0
20068,彩云易散,NJ,0.0
20069,操之过切,NN,-5.0
20070,差彊人意,NJ,0.0
20071,谗口铄金,ND,-5.0
20072,倡情冶思,NN,-5.0
20073,长枕大衾,PB,0.0
20074,长歌当哭,NB,0.0
20075,远怀近集,PD,3.0
20076,月地云阶,PB,0.0
20077,岳岳荦荦,PH,5.0
20078,云心水性,NN,-5.0
20079,云过天空,PH,5.0
20080,云开雾散,NB,0.0
20081,陨雹飞霜,ND,0.0
20082,再衰三涸,NJ,0.0
20083,赃官污吏,NN,-5.0
20084,澡垢索疵,NN,-3.0
20085,躁言丑句,NN,-5.0
20086,贼眉贼眼,NN,-5.0
20087,诈奸不及,NN,-7.0
20088,詹言曲说,NN,-3.0
20089,辗转反侧,NE,0.0
20090,张公吃酒李公颠,PH,5.0
20091,招是生非,NN,-5.0
20092,朝生暮死,NB,0.0
20093,遮三瞒四,NN,-3.0
20094,真独简贵,PH,5.0
20095,震古铄今,PH,5.0
20096,正大堂煌,PH,5.0
20097,政以贿成,NN,-5.0
20098,执文害意,NN,-5.0
20099,直言正色,PH,5.0
20100,植党自私,NN,-5.0
20101,指皁为白,NN,-5.0
20102,指亲托故,NN,-5.0
20103,面若死灰,NC,0.0
20104,妙算神机,PH,5.0
20105,民富国彊,PE,9.0
20106,明公正道,PH,6.0
20107,明来暗往,NN,-5.0
20108,鸣鹤之应,PH,5.0
20109,摩顶放踵,PH,6.0
20110,磨砻砥砺,PH,0.0
20111,目牛无全,PH,5.0
20112,目眩神摇,PC,0.0
20113,目乱睛迷,PC,0.0
20114,目瞪舌挢,PC,0.0
20115,拿三搬四,NN,-6.0
20116,难分难解,PB,7.0
20117,能伸能屈,PH,5.0
20118,泥猪瓦狗,NN,-5.0
20119,逆道乱常,NN,-6.0
20120,鸟哭猿啼,NB,-7.0
20121,尿流屁滚,NC,-7.0
20122,牛角书生,PH,5.0
20123,驽马恋栈豆,NN,-5.0
20124,拍马溜须,NN,-5.0
20125,旁门外道,NN,-6.0
20126,狮子大开口,NN,-5.0
20127,十年磨剑,PH,5.0
20128,十病九痛,NB,-5.0
20129,时来运转,PA,5.0
20130,识时达变,PH,5.0
20131,拾人唾涕,NN,-5.0
20132,食不充肠,NB,-5.0
20133,食不遑味,NI,-5.0
20134,食鱼遇鯖,PH,5.0
20135,使心彆气,,-5.0
20136,使贤任能,PH,5.0
20137,事捷功倍,PH,5.0
20138,饰非掩过,NN,-5.0
20139,视下如伤,PH,5.0
20140,视同兒戏,NN,-5.0
20141,视为兒戏,NN,-5.0
20142,室如悬罄,NB,-5.0
20143,誓死不屈,PH,5.0
20144,適如其分,PA,5.0
20145,適情任欲,NN,-5.0
20146,手高眼低,NN,-5.0
20147,守阙抱残,NN,-5.0
20148,兽困则噬,ND,-5.0
20149,疏财重义,PH,5.0
20150,熟路轻辙,PE,5.0
20151,鼠肚鸡肠,NN,-5.0
20152,鼠腹鸡肠,NN,-5.0
20153,鼠首偾事,NN,-5.0
20154,束手待死,NN,-5.0
20155,束手就毙,NN,-5.0
20156,束椽为柱,NN,-5.0
20157,霜凋夏绿,NB,-5.0
20158,水中捉月,NJ,-5.0
20159,水来土掩,PE,5.0
20160,水尽山穷,NB,5.0
20161,顺我者昌，逆我者亡,NN,-5.0
20162,说一是一，说二是二,PH,5.0
20163,说黄道黑,NN,-5.0
20164,死中求生,PA,5.0
20165,死求白赖,NN,-5.0
20166,死里求生,PA,5.0
20167,四海昇平,PH,5.0
20168,孤行一意,ND,-9.0
20169,孤恩负义,ND,-9.0
20170,孤悬客寄,NB,-5.0
20171,骨肉相残,ND,-7.0
20172,鼓舌掀簧,ND,-5.0
20173,鼓睛暴眼,NC,-7.0
20174,鼓乐齐鸣,PA,7.0
20175,故作玄虚,NN,-5.0
20176,顾而言他,NN,-5.0
20177,顾影弄姿,NN,-5.0
20178,寡二少双,PG,0.0
20179,怪形怪状,ND,-5.0
20180,观隅反三,PG,5.0
20181,冠上加冠,NN,-5.0
20182,贯斗双龙,PG,9.0
20183,光车骏马,PB,5.0
20184,光焰万丈,PB,7.0
20185,归十归一,PG,5.0
20186,规行矩止,NN,-5.0
20187,瑰意奇行,PG,7.0
20188,鬼工雷斧,PG,9.0
20189,鬼泣神嚎,NC,-9.0
20190,鬼哭神嚎,NC,-9.0
20191,鬼蜮伎俩,NN,-9.0
20192,贵人多忘事,ND,-5.0
20193,贵远鄙近,ND,-5.0
20194,刿心怵目,NC,0.0
20195,国耳忘家,PD,7.0
20196,过府冲州,NN,0.0
20197,咳声叹气,NB,-5.0
20198,海盟山咒,PB,9.0
20199,骇心动目,PC,-9.0
20200,酣歌醉舞,NN,-5.0
20201,含仁怀义,PG,7.0
20202,含垢包羞,PD,7.0
20203,含宫咀徵,PB,5.0
20204,含瑕积垢,PD,5.0
20205,韩寿分香,ND,-5.0
20206,寒泉之思,PF,7.0
20207,汗青头白,NJ,0.0
20208,汗流浃踵,NB,0.0
20209,好天良夜,PA,7.0
20210,好色之徒,NN,-7.0
20211,豪竹哀丝,NB,0.0
20212,浩浩汤汤,PG,0.0
20213,河山之德,PG,7.0
20214,河东狮子,ND,-5.0
20215,河清海晏,PE,5.0
20216,涸鱼得水,PA,5.0
20217,鹤骨鸡肤,NJ,0.0
20218,鹤鸣之士,PG,5.0
20219,黑漆皮灯,NN,-5.0
20220,横行直撞,ND,-5.0
20221,横眉吐气,PG,7.0
20222,横从穿贯,PG,5.0
20223,横殃飞祸,NC,-7.0
20224,横赋暴敛,ND,-7.0
20225,轰天烈地,PG,7.0
20226,闳言高论,PG,5.0
20227,鸿爪春泥,PF,5.0
20228,鸿轩凤翥,PG,7.0
20229,鸿图华构,PG,5.0
20230,鸿隐凤伏,NJ,-5.0
20231,后浪催前浪,PG,5.0
20232,呼天叫地,ND,-9.0
20233,狐不二雄,,-9.0
20234,狐唱枭和,ND,-5.0
20235,狐鸣鱼书,ND,-5.0
20236,户天胡帝,ND,-7.0
20237,师父,PD,5.0
20238,诗篇,PG,5.0
20239,十七勇士,PD,5.0
20240,实地,PG,5.0
20241,矢口,NN,-5.0
20242,示范,PG,5.0
20243,试看,PG,5.0
20244,逝世,NB,7.0
20245,收拢,NN,-5.0
20246,胡言乱道,ND,-5.0
20247,胡说白道,ND,-5.0
20248,鹄面鸠形,NB,0.0
20249,怙过不悛,NN,-9.0
20250,化日光天,PH,7.0
20251,话长说短,ND,-5.0
20252,怀银纡紫,PH,5.0
20253,欢忭鼓舞,PA,9.0
20254,还醇返朴,PE,0.0
20255,焕然如新,PA,5.0
20256,黄金世界,PB,5.0
20257,黄发兒齿,PE,0.0
20258,黄齑白饭,ND,0.0
20259,灰身灭智,NJ,0.0
20260,挥日阳戈,PH,9.0
20261,隳肝尝胆,PH,9.0
20262,回船转舵,NJ,0.0
20263,悔其少作,NJ,0.0
20264,毁家纾国,PH,9.0
20265,诲尔谆谆，听我藐藐,NJ,-5.0
20266,昏头晕脑,ND,0.0
20267,浑浑沌沌,NN,-5.0
20268,魂亡胆落,NC,0.0
20269,魂飞目断,PB,7.0
20270,魂飞胆落,PC,0.0
20271,魂丧神夺,PC,0.0
20272,魂颠梦倒,PF,0.0
20273,活形活现,PH,0.0
20274,火上弄冰,NB,0.0
20275,火龙黼黻,NN,0.0
20276,祸在旦夕,NE,0.0
20277,惑世诬民,NN,0.0
20278,击碎唾壶,PH,9.0
20279,饥寒交至,NB,0.0
20280,肌劈理解,PH,5.0
20281,鸡犬昇天,NN,-7.0
20282,鸡肠狗肚,ND,-9.0
20283,及宾有鱼,ND,-5.0
20284,极情尽致,PA,7.0
20285,急功近名,NN,-5.0
20286,棘地荆天,NB,0.0
20287,计日而俟,PF,0.0
20288,计无所施,NJ,0.0
20289,际遇风云,PA,5.0
20290,骥子龙文,PH,7.0
20291,家破人离,NB,0.0
20292,嘉言善状,PH,5.0
20293,假虎张威,ND,-5.0
20294,架海金樑,PH,7.0
20295,兼葭秋水,PF,0.0
20296,哈巴狗,NN,-7.0
20297,好好先生,NN,-3.0
20298,合家欢,PA,0.0
20299,活地狱,NJ,-5.0
20300,火头,NB,0.0
20301,急忙,NI,0.0
20302,冬日可爱,PH,5.0
20303,白头偕老,PH,5.0
20304,花好月圆,PA,5.0
20305,张敞画眉,PH,5.0
20306,荡析离居,NB,-5.0
20307,草行露宿,NE,-5.0
20308,吹箫乞食,NE,-5.0
20309,吃着不尽,PE,5.0
20310,眉睫之祸,NI,-5.0
20311,科头跣足,NE,-5.0
20312,巴巴,PF,0.0
20313,把头,NN,-5.0
20314,罢免,ND,-5.0
20315,摆设,PA,0.0
20316,拜把子,PA,5.0
20317,拜扫,PF,5.0
20318,班师,PA,5.0
20319,邦交,PA,0.0
20320,绑架,NC,-5.0
20321,包管,PA,0.0
20322,图作不轨,NN,-7.0
20323,途途是道,PH,7.0
20324,吐心吐胆,PH,7.0
20325,吐胆倾心,PH,7.0
20326,兔葵燕麦,NB,0.0
20327,抟心壹志,PH,7.0
20328,推食解衣,PB,9.0
20329,推燥居湿,PH,9.0
20330,吞舟漏网,NN,-9.0
20331,吞声饮恨,NN,-7.0
20332,讬公报私,NN,-7.0
20333,拖金委紫,PD,7.0
20334,唾地成文,PH,7.0
20335,挖肉补疮,NN,-9.0
20336,歪八竖八,NN,-7.0
20337,外简内明,PH,7.0
20338,刓方为圆,NN,-7.0
20339,玩岁愒日,NN,-7.0
20340,晚节不终,NJ,-7.0
20341,亡国之社,NB,-7.0
20342,亡猿灾木,NN,-7.0
20343,枉口诳舌,NN,-7.0
20344,枉突徙薪,PH,-7.0
20345,枉矫过激,NN,-7.0
20346,忘情负义,NN,-7.0
20347,望岫息心,NJ,-7.0
20348,望洋而叹,NN,-7.0
20349,望尘奔北,NN,-7.0
20350,望断白云,PF,9.0
20351,威刑肃物,NN,-7.0
20352,微察秋毫,PH,9.0
20353,为法自弊,NN,-7.0
20354,为裘为箕,PH,5.0
20355,为渊驱鱼，为丛驱爵,NN,-9.0
20356,违世乖俗,PH,7.0
20357,违害就利,NN,-7.0
20358,唯所欲为,NN,-7.0
20359,惟力是视,PH,9.0
20360,惟所欲为,NN,-9.0
20361,委委佗佗,PA,7.0
20362,未风先雨,NN,-7.0
20363,味如嚼蜡,NN,-7.0
20364,魏鹊无枝,NJ,-7.0
20365,温席扇枕,PH,9.0
20366,文弛武玩,NN,7.0
20367,文治武力,PH,9.0
20368,文过其实,NN,-7.0
20369,文章经济,PH,9.0
20370,文经武纬,PH,9.0
20371,闻一知二,PH,7.0
20372,闻风而兴,PH,9.0
20373,问十道百,PH,9.0
20374,问罪之师,PH,7.0
20375,瓮尽杯乾,NN,-7.0
20376,握素披黄,PH,7.0
20377,握发吐飧,PH,7.0
20378,乌衣子弟,PD,7.0
20379,呜呼噫嘻,NB,-7.0
20380,无人之境,NB,-7.0
20381,无父无君,NN,-9.0
20382,无可不可,PH,9.0
20383,无可置辩,PH,7.0
20384,无地自厝,NG,-9.0
20385,无名小辈,ND,-7.0
20386,无如之何,NJ,-7.0
20387,无何有之乡,NJ,-7.0
20388,无知妄作,NN,-7.0
20389,无所不尽其极,PH,9.0
20390,无所重轻,NN,-7.0
20391,无风起浪,NN,-7.0
20392,无根之木，无源之水,NN,-5.0
20393,无容身之地,NB,-7.0
20394,无偏无倚,PH,7.0
20395,无恶不造,ND,-9.0
20396,叠韵,PB,7.0
20397,丢面子,NJ,-7.0
20398,洞房,PA,9.0
20399,毒物,NB,-9.0
20400,端午,PA,0.0
20401,对歌,PA,9.0
20402,眼睁睁,NJ,-5.0
20403,佯攻,PH,0.0
20404,老黄牛,PH,7.0
20405,唠嗑,PE,5.0
20406,老饕,NN,-3.0
20407,檑木,,-5.0
20408,累累,NN,-7.0
20409,冷宫,NN,-5.0
20410,罹难,PB,0.0
20411,联欢,PA,5.0
20412,迫使,PK,0.0
20413,破门,PK,0.0
20414,仆从,PK,0.0
20415,扑扇,PK,0.0
20416,朴陋,PK,0.0
20417,七夕,PA,0.0
20418,嘁嘁喳喳,PK,0.0
20419,其次,PK,0.0
20420,奇袭,PC,0.0
20421,旗号,NN,-6.0
20422,岂但,PK,0.0
20423,起火,,0.0
20424,起疑,NL,0.0
20425,气数,PK,0.0
20426,弃妇,NN,-6.0
20427,器量,PK,0.0
20428,洽谈,PK,0.0
20429,千里马,PH,6.0
20430,牵线,PK,0.0
20431,前进,PK,0.0
20432,钳制,PK,0.0
20433,相惊伯有,NI,-7.0
20434,恐慌万状,NC,-7.0
20435,伈伈睍睍,NC,-8.0
20436,香饽饽,PB,0.0
20437,谊切苔岑,PB,7.0
20438,讨人嫌,ND,-8.0
20439,以手加额,PD,7.0
20440,脱口而出,PH,6.0
20441,言近指远,PH,7.0
20442,一言九鼎,PH,6.0
20443,语重心长,PB,7.0
20444,舌敝耳聋,NE,-8.0
20445,只言片语,NB,0.0
20446,嬉笑怒骂,ND,-6.0
20447,人之将死，其言也善,PG,9.0
20448,班荆道故,PB,7.0
20449,异口同声,NE,0.0
20450,聚讼纷纭,NN,-7.0
20451,哑子吃黄连,NL,-7.0
20452,晓以利害,PG,6.0
20453,百口莫辩,NN,-7.0
20454,当头棒喝,NN,-7.0
20455,在所难免,PE,0.0
20456,言归正传,NN,-7.0
20457,良金美玉,PH,8.0
20458,矫矫不群,PH,6.0
20459,驰名中外,PH,8.0
20460,网开一面,PH,7.0
20461,起死人，肉白骨,PH,6.0
20462,陵云之志,PH,7.0
20463,不务空名,PH,5.0
20464,蹈节死义,PH,7.0
20465,田父献曝,PH,7.0
20466,好问则裕,PH,7.0
20467,靦颜事仇,NN,-5.0
20468,面面厮觑,NC,-4.0
20469,邈处欿视,PH,5.0
20470,民和年稔,PE,9.0
20471,名不虚得,PH,6.0
20472,名流巨子,PH,6.0
20473,明火持杖,NN,-7.0
20474,鸣于乔木,PH,5.0
20475,命蹇时乖,NB,-6.0
20476,磨砥刻厉,PH,6.0
20477,木梗之患,NB,-7.0
20478,目空一世,NN,-7.0
20479,目无三尺,NN,-5.0
20480,目瞪口张,PC,0.0
